2025-10-21 13:16:09 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:09 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:16:09 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:16:09 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:16:09 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:09 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:09 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:09 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:16:09 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:16:09 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:16:09 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:09 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:09 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:10 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:16:10 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:16:10 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:16:10 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:10 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:10 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:10 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:10 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:10 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:10 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:10 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:10 | 10.172.150.168 -> 224.0.0.251 | proto=17
